EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000250.2,8,5.97395,0.0119932528286485,2.11842,0.486165007112376,1.02954,0,0.581308677098151,7.07153627311522,1.36972972972973,2.83445234708393,0.365945945945946,1.66503556187767,0.87894,0.98437,0.77081,1.08061,1.2347,0.88145,1.31311,1.39193,2.06495,0.26278,1.15921,1.05505,0.69485,1.20203
IHECRE00000250.2,9,64.31465,0.0103989746445585,0.22344,0.707891183549232,0.97477,0.1,0.876252035110073,1.26599773483401,1.51648439159057,3.27669533517378,0.172608303249097,1.30233772209245,1.05961,1.05932,0.80873,0.97173,0.52174,0.85235,0.63153,0.38015,0.59619,1.20419,0.97865,0.97442,1.13421,1.01259
IHECRE00000250.2,10,13.34205,0.00820575399953435,0.16264,0.50632568359375,1.13512,0,0.4422607421875,0.908935546875,1.5955810546875,2.1656494140625,0.0819091796875,3.561279296875,1.28651,1.37337,2.63288,1.30367,0.27512,0.60757,0.35411,0.22275,0.25699,0.45205,0.6539,0.64566,0.90455,1.02311
IHECRE00000666.1,1,0.47544,0.0614366700961707,78.32577,0.103453886810381,0.46418,5.855,18.5303165271097,0.787724924282915,0.907060989369915,7.07224300730447,31.8070847437496,0.864896965377992,0.08239,0.14343,0.45196,0.12592,10.72266,1.65339,2.83095,79.54391,24.06075,0.16523,3.11983,0.30809,0.62907,0.13815
IHECRE00000666.1,2,1.03523,0.0214054120859061,4.04853,0.398352163997169,0.80999,9.44,14.1502870474742,1.22630875298189,2.24261409809421,24.663328702126,16.2718431331428,1.75393871077673,0.43361,0.39689,0.45432,0.52046,2.57439,1.75023,3.01032,4.58149,12.00809,0.07061,1.71272,1.11566,0.55257,0.75215
IHECRE00000666.1,3,0.99709,0.0110177546899999,0.10663,0.747550345224396,1.00991,4.325,9.57215549482163,0.855005753739931,2.58479574223245,24.524291570771,4.49591844073648,1.51564298043728,0.6579,0.70974,0.3907,0.71534,1.24598,1.58442,1.79982,0.83456,2.55049,0.09518,1.37442,1.31405,0.69881,0.93412
IHECRE00000666.1,4,3.51609,0.0134007014338633,1.09667,0.799742494193215,1.02938,3.93,3.09570441315631,1.16839675393571,2.37734063602214,14.528990909873,3.23749032202564,1.57232672841453,0.81119,0.6394,0.46102,1.21055,0.94825,1.74593,1.15722,1.3021,2.65453,0.19754,1.37942,1.49256,0.7773,0.94005
IHECRE00000666.1,5,1.16681,0.00975323384108719,0.07355,0.905689097854834,0.99469,13.29,4.60161622098149,0.780193946517778,8.30813987657949,15.0840728768733,3.62212753452836,1.69911842491919,0.71538,0.40814,0.45555,0.73055,3.71689,2.31051,3.18549,0.62958,0.99097,0.09382,1.64564,1.3881,0.72503,0.83951
IHECRE00000666.1,6,6.80361,0.0115221648503188,0.35904,0.94171869003454,1.00498,5.13,2.31519444799795,0.799379557374952,6.80569591915057,6.7153799411539,2.31986375847512,1.60318856338749,0.69223,0.43652,0.47688,0.87214,4.01457,2.25438,3.31488,0.37589,0.48841,0.50485,1.4731,1.62715,0.66926,0.72017
IHECRE00000666.1,7,1.35168,0.00609943206441261,0.18445,0.833621193875796,1.0225,1.695,1.37656975744022,2.31547107058891,2.40016629393887,5.38823900453008,2.57509031481163,6.69582544870692,2.08445,1.91837,1.03707,0.30763,1.45266,0.9536,1.35321,0.31571,0.41072,0.32289,0.97042,0.7738,1.42358,0.26266
